date,date,open,close,high,low,volume
2021-09-24,2021-09-24,495.47,500.58,513.11,491.1,102625
2021-09-27,2021-09-27,505.6,514.1,520.4,500.39,144963
2021-09-28,2021-09-28,512.6,501.03,518.55,498.8,92225
2021-09-29,2021-09-29,496.6,503.11,512.4,494.6,93955
2021-09-30,2021-09-30,505.6,526.33,533.1,502.61,167142
2021-10-08,2021-10-08,534.6,534.6,550.67,523.5,125169
2021-10-11,2021-10-11,535.6,521.6,538.2,518.66,78309
2021-10-12,2021-10-12,522.18,505.6,523.22,499.48,95907
2021-10-13,2021-10-13,505.6,522.86,523.1,504.6,76522
2021-10-14,2021-10-14,525.6,532.9,535.48,525.6,78416
2021-10-15,2021-10-15,532.6,569.6,579.47,528.7,229513
2021-10-18,2021-10-18,581.6,595.62,595.84,570.6,186702
2021-10-19,2021-10-19,604.6,591.2,615.58,585.6,150890
2021-10-20,2021-10-20,595.6,590.1,613.98,587.6,124666
2021-10-21,2021-10-21,590.6,596.6,599.6,580.6,101423
2021-10-22,2021-10-22,606.58,602.0,606.58,590.93,110216
2021-10-25,2021-10-25,612.6,611.37,625.76,603.93,140521
2021-10-26,2021-10-26,636.36,598.59,639.08,596.53,148277
2021-10-27,2021-10-27,598.59,615.64,615.64,593.77,135486
2021-10-28,2021-10-28,625.6,607.8,635.6,603.53,172829
2021-10-29,2021-10-29,615.89,639.82,646.09,599.54,202687
2021-11-01,2021-11-01,641.6,650.6,679.6,631.73,221797
