date,date,open,high,low,close,volume
2020-01-16,2020-01-16,8356.244,8356.244,8285.078,8303.788,1756498880
2020-01-17,2020-01-17,8330.885,8348.841,8269.102,8293.775,1713177600
2020-01-20,2020-01-20,8322.054,8324.25,8261.197,8300.679,2573777915
2020-01-21,2020-01-21,8246.563,8246.655,8124.225,8131.005,2495197813
2020-01-22,2020-01-22,8089.891,8168.797,8002.61,8152.119,2421918748
2020-01-23,2020-01-23,8079.259,8079.259,7830.89,7896.635,3045117778
2020-02-03,2020-02-03,7185.793,7389.482,7185.793,7294.093,2359829950
2020-02-04,2020-02-04,7262.576,7509.506,7262.576,7505.449,3943077000
2020-02-05,2020-02-05,7538.625,7650.126,7506.635,7590.686,3114822408
2020-02-06,2020-02-06,7627.968,7729.899,7548.693,7711.165,3176495970
2020-02-07,2020-02-07,7656.126,7703.256,7611.359,7703.256,2415542099
2020-02-10,2020-02-10,7641.192,7753.034,7599.672,7732.208,2546678599
2020-02-11,2020-02-11,7754.731,7872.875,7736.109,7844.917,2267581506
2020-02-12,2020-02-12,7818.807,7878.915,7800.281,7876.83,2007094447
2020-02-13,2020-02-13,7876.381,7927.829,7820.756,7842.861,2176460351
2020-02-14,2020-02-14,7819.47,7878.645,7814.101,7864.77,1959967459
2020-02-17,2020-02-17,7852.475,7990.708,7852.475,7990.708,2891721634
2020-02-18,2020-02-18,7972.371,7973.467,7885.502,7929.813,3072236611
2020-02-19,2020-02-19,7919.562,8000.099,7898.728,7962.57,2630692605
2020-02-20,2020-02-20,7981.228,8138.061,7981.228,8129.437,3858075835
2020-02-21,2020-02-21,8115.292,8162.369,8085.224,8113.515,3799775656
2020-02-24,2020-02-24,8086.218,8095.951,8006.075,8063.292,3964322261
2020-02-25,2020-02-25,7941.7,8001.955,7843.839,7989.927,4161429786
2020-02-26,2020-02-26,7882.004,8029.917,7867.002,7936.821,4453899143
2020-02-27,2020-02-27,7952.091,8031.716,7952.091,7993.9,2979158460
2020-02-28,2020-02-28,7809.017,7896.208,7703.161,7727.536,4111675620
2020-03-02,2020-03-02,7760.833,8025.221,7760.833,7979.2,3951413775
2020-03-03,2020-03-03,8085.112,8098.205,7966.861,8011.61,3758419721
2020-03-04,2020-03-04,7988.757,8062.07,7976.729,8058.87,3003284496
2020-03-05,2020-03-05,8116.367,8271.268,8094.091,8256.788,3224258939
2020-03-06,2020-03-06,8167.379,8207.193,8116.682,8120.587,2773764909
2020-03-09,2020-03-09,7966.728,7966.728,7853.033,7859.35,3491298351
2020-03-10,2020-03-10,7812.98,8060.811,7799.56,8032.875,3219060999
2020-03-11,2020-03-11,8049.968,8052.104,7948.855,7950.569,2566760973
2020-03-12,2020-03-12,7843.813,7850.349,7734.133,7771.138,2921325839
2020-03-13,2020-03-13,7417.711,7726.671,7390.051,7631.553,3265319580
2020-03-16,2020-03-16,7640.3,7640.3,7292.496,7310.138,3280381344
2020-03-17,2020-03-17,7299.257,7416.282,7072.345,7231.65,3015173092
2020-03-18,2020-03-18,7265.035,7372.016,7101.757,7104.874,2892972411
2020-03-19,2020-03-19,7066.25,7105.479,6774.57,6940.46,3366450017
2020-03-20,2020-03-20,7023.741,7109.236,6957.432,7090.317,2600421837
2020-03-23,2020-03-23,6856.642,6923.035,6803.551,6822.375,2736451104
2020-03-24,2020-03-24,6963.15,7046.585,6889.031,7039.021,2488425081
2020-03-25,2020-03-25,7223.053,7276.145,7171.85,7255.281,2711236913
2020-03-26,2020-03-26,7191.163,7267.748,7167.299,7187.536,1861362325
2020-03-27,2020-03-27,7283.095,7311.55,7229.212,7229.359,2277080591
2020-03-30,2020-03-30,7111.021,7171.282,7079.246,7140.547,2525953615
2020-03-31,2020-03-31,7213.597,7247.197,7161.742,7174.267,1952092240
2020-04-01,2020-04-01,7190.536,7295.082,7174.302,7185.805,2394402782
2020-04-02,2020-04-02,7141.958,7296.539,7133.084,7296.399,1937698441
2020-04-03,2020-04-03,7277.833,7325.537,7243.143,7270.229,1592263069
2020-04-07,2020-04-07,7407.833,7435.708,7377.485,7420.993,2394952588
2020-04-08,2020-04-08,7379.834,7407.4,7357.851,7383.019,1759951887
2020-04-09,2020-04-09,7411.202,7418.463,7361.188,7382.553,1388566015
2020-04-10,2020-04-10,7386.165,7478.199,7351.485,7373.144,1793311864
2020-04-13,2020-04-13,7341.144,7417.461,7337.436,7382.529,1316571171
2020-04-14,2020-04-14,7433.439,7491.102,7397.806,7491.102,1519242796
2020-04-15,2020-04-15,7474.492,7492.198,7400.591,7417.403,1723118429
2020-04-16,2020-04-16,7376.833,7404.048,7362.85,7398.091,1282011193
2020-04-17,2020-04-17,7462.104,7550.84,7452.973,7508.028,2323180674
2020-04-20,2020-04-20,7529.605,7543.059,7493.76,7539.716,1779711685
2020-04-21,2020-04-21,7510.687,7510.687,7380.67,7437.887,1612324182
2020-04-22,2020-04-22,7407.014,7530.275,7385.724,7530.275,1305675085
2020-04-23,2020-04-23,7562.345,7587.648,7533.622,7538.214,1419634289
2020-04-24,2020-04-24,7532.64,7547.391,7477.477,7496.105,1501499819
2020-04-27,2020-04-27,7517.61,7569.629,7484.581,7527.301,1405685568
2020-04-28,2020-04-28,7553.211,7619.232,7442.678,7599.463,2144934752
2020-04-29,2020-04-29,7574.427,7658.886,7566.143,7634.656,1571300529
2020-04-30,2020-04-30,7655.083,7751.673,7655.083,7710.368,2357472442
2020-05-06,2020-05-06,7613.714,7745.411,7613.714,7740.824,2452455898
2020-05-07,2020-05-07,7741.038,7747.052,7701.008,7730.203,1701084761
2020-05-08,2020-05-08,7769.999,7856.283,7752.925,7833.359,2127415811
2020-05-11,2020-05-11,7864.701,7937.831,7815.362,7847.854,2636660099
2020-05-12,2020-05-12,7856.475,7875.774,7795.618,7847.389,1823129885
2020-05-13,2020-05-13,7825.177,7859.22,7783.875,7850.97,1564181991
2020-05-14,2020-05-14,7827.512,7827.512,7760.151,7763.915,1520237197
2020-05-15,2020-05-15,7790.875,7795.854,7705.976,7720.378,1846799849
2020-05-18,2020-05-18,7730.999,7784.746,7695.901,7748.468,2204139757
2020-05-19,2020-05-19,7838.592,7841.561,7792.623,7818.417,1617328960
2020-05-20,2020-05-20,7810.115,7810.115,7758.391,7778.506,1921453721
2020-05-21,2020-05-21,7818.421,7818.421,7724.393,7739.572,1580279778
2020-05-22,2020-05-22,7728.701,7728.701,7550.874,7565.888,1740459484
2020-05-25,2020-05-25,7572.634,7581.898,7493.845,7580.924,1430294262
2020-05-26,2020-05-26,7624.462,7692.109,7615.415,7685.766,1353923535
2020-05-27,2020-05-27,7692.395,7701.925,7632.702,7648.206,1383372326
2020-05-28,2020-05-28,7667.2,7736.176,7607.25,7683.58,1468661715
2020-05-29,2020-05-29,7645.333,7722.096,7631.929,7717.35,1565896662
2020-06-01,2020-06-01,7772.468,7941.605,7772.468,7938.515,2561998989
2020-06-02,2020-06-02,7935.955,7985.153,7908.285,7974.729,3789840228
2020-06-03,2020-06-03,8020.801,8058.452,7973.518,7987.055,3212100305
2020-06-04,2020-06-04,8020.739,8031.428,7954.331,7976.896,2548610556
2020-06-05,2020-06-05,7984.578,8012.239,7949.582,8011.712,2221791127
2020-06-08,2020-06-08,8059.001,8139.411,8059.001,8088.648,3779375114
2020-06-09,2020-06-09,8095.758,8143.229,8071.143,8128.652,2586919385
2020-06-10,2020-06-10,8131.985,8131.985,8072.963,8102.884,2874744873
2020-06-11,2020-06-11,8068.895,8071.204,7938.372,7972.316,2679981986
2020-06-12,2020-06-12,7840.185,8000.663,7829.625,7998.651,2587771410
2020-06-15,2020-06-15,7913.851,7948.137,7831.398,7831.398,2691864287
2020-06-16,2020-06-16,7917.648,7946.482,7896.727,7946.482,1960837546
2020-06-17,2020-06-17,7939.942,7939.942,7883.661,7931.22,1876902909
2020-06-18,2020-06-18,7911.008,7997.998,7901.348,7991.308,2308185315
2020-06-19,2020-06-19,7996.189,8106.382,7991.419,8095.664,2470088493
2020-06-22,2020-06-22,8078.372,8078.372,8001.045,8022.428,2429503133
2020-06-23,2020-06-23,8009.689,8049.53,7977.762,8039.403,2383437934
2020-06-24,2020-06-24,8058.026,8121.935,8058.026,8112.421,2169142753
2020-06-29,2020-06-29,8079.804,8096.141,8034.351,8091.698,2364697388
2020-06-30,2020-06-30,8138.089,8211.82,8138.089,8184.612,2057275143
2020-07-01,2020-07-01,8210.674,8449.927,8193.914,8449.322,2830412653
2020-07-02,2020-07-02,8432.434,8624.649,8427.627,8612.368,4057669723
2020-07-03,2020-07-03,8628.377,8718.487,8606.817,8718.487,3647262444
2020-07-06,2020-07-06,8789.843,9168.048,8788.402,9142.161,5350443923
2020-07-07,2020-07-07,9278.832,9372.529,9190.071,9190.728,5763794326
2020-07-08,2020-07-08,9169.232,9258.763,9080.524,9213.672,4320597544
2020-07-09,2020-07-09,9210.947,9293.91,9153.897,9292.493,4606318119
2020-07-10,2020-07-10,9214.326,9252.66,9093.181,9125.442,4380706824
2020-07-13,2020-07-13,9113.089,9323.896,9103.201,9276.262,4422462661
2020-07-14,2020-07-14,9242.095,9299.723,9051.629,9177.635,4127330417
2020-07-15,2020-07-15,9188.44,9251.909,9085.528,9139.935,3775526941
2020-07-16,2020-07-16,9127.194,9138.629,8683.014,8685.575,4140362000
2020-07-17,2020-07-17,8690.189,8881.507,8688.44,8826.022,3042807193
2020-07-20,2020-07-20,8881.928,9086.124,8808.147,9075.981,3375927587
2020-07-21,2020-07-21,9089.785,9127.633,9031.729,9084.684,2923796858
2020-07-22,2020-07-22,9080.373,9273.83,9063.541,9141.35,2940148257
2020-07-23,2020-07-23,9060.298,9172.797,8938.838,9148.364,3286610606
2020-07-24,2020-07-24,9081.449,9108.117,8701.383,8759.168,3324534653
2020-07-27,2020-07-27,8816.646,8873.25,8712.861,8802.153,2217693857
2020-07-28,2020-07-28,8873.267,8957.117,8845.028,8931.791,2092802743
2020-07-29,2020-07-29,8915.046,9119.463,8885.11,9112.392,2523204541
2020-07-30,2020-07-30,9132.615,9175.87,9082.882,9083.619,2187684501
2020-07-31,2020-07-31,9077.858,9255.705,9007.06,9153.339,2449748444
2020-08-03,2020-08-03,9226.834,9283.126,9200.922,9280.462,2982297246
2020-08-04,2020-08-04,9299.76,9344.416,9235.241,9309.797,3149950874
2020-08-05,2020-08-05,9271.909,9314.496,9187.551,9302.816,2797278658
2020-08-06,2020-08-06,9305.813,9331.15,9151.258,9247.04,3421922849
2020-08-07,2020-08-07,9223.746,9270.813,9077.672,9203.971,2663280980
2020-08-10,2020-08-10,9167.073,9277.844,9078.673,9233.12,2669091670
2020-08-11,2020-08-11,9256.801,9401.452,9211.189,9224.002,2879615934
2020-08-12,2020-08-12,9210.804,9239.866,9027.961,9159.772,2688988644
2020-08-13,2020-08-13,9192.456,9221.705,9127.988,9158.487,2432513441
2020-08-14,2020-08-14,9133.463,9278.468,9112.146,9272.913,2434483728
2020-08-17,2020-08-17,9308.293,9499.95,9308.293,9450.884,4298925717
2020-08-18,2020-08-18,9451.44,9451.479,9369.989,9430.11,2842078725
2020-08-19,2020-08-19,9418.275,9429.286,9309.478,9312.573,2628307607
2020-08-20,2020-08-20,9234.131,9270.228,9166.687,9200.796,2327905916
2020-08-21,2020-08-21,9282.013,9317.438,9211.954,9267.463,2200884197
2020-08-24,2020-08-24,9321.02,9401.482,9301.717,9377.151,3040372923
2020-08-25,2020-08-25,9407.368,9459.131,9368.247,9397.993,2284722662
2020-08-26,2020-08-26,9388.506,9446.235,9252.072,9287.972,2428113140
2020-08-27,2020-08-27,9311.485,9318.898,9219.897,9305.738,1794672664
2020-08-28,2020-08-28,9294.799,9570.363,9271.098,9556.579,3185880076
2020-08-31,2020-08-31,9629.444,9684.399,9454.776,9460.617,3674931832
2020-09-01,2020-09-01,9430.073,9511.305,9407.964,9510.363,2115467309
2020-09-02,2020-09-02,9553.096,9575.409,9439.164,9538.229,2835964709
2020-09-03,2020-09-03,9544.958,9650.929,9499.952,9536.489,2682726179
2020-09-04,2020-09-04,9389.46,9466.614,9332.428,9451.372,2094852476
2020-09-07,2020-09-07,9418.746,9488.644,9233.141,9265.338,2604709081
2020-09-08,2020-09-08,9305.058,9324.315,9181.861,9290.017,2223217942
2020-09-09,2020-09-09,9186.203,9222.165,9045.445,9097.776,2096074084
2020-09-10,2020-09-10,9183.516,9220.884,9106.446,9134.354,2259522877
2020-09-11,2020-09-11,9116.469,9205.143,9081.838,9192.438,1680635097
